dataset	task	phase	secs
leworldmodel_full	operator_hotspot	template_tally	0.002106117
leworldmodel_full	operator_hotspot	sort_top_n	0.000245873
leworldmodel_full	stream_load_balance	template_stream_aggregate	0.000403743
leworldmodel_full	stream_load_balance	sort_json	1.4909e-05
leworldmodel_full	compute_comm_overlap	rank_interval_collect	0.030459435
leworldmodel_full	compute_comm_overlap	interval_merge_and_json	0.001547861
leworldmodel_full	layer_operator_balance	template_layer_aggregate	0.000677818
leworldmodel_full	layer_operator_balance	sort_json	6.875e-06
leworldmodel_full	rank_load_balance	template_classification	6.6246e-05
leworldmodel_full	rank_load_balance	rank_tree_walk	0.027199437
leworldmodel_full	rank_load_balance	summary_json	3.0491e-05
qwen3_full	operator_hotspot	template_tally	0.009916345
qwen3_full	operator_hotspot	sort_top_n	0.000330115
qwen3_full	stream_load_balance	template_stream_aggregate	0.032716685
qwen3_full	stream_load_balance	sort_json	0.000128799
qwen3_full	compute_comm_overlap	rank_interval_collect	0.34817292
qwen3_full	compute_comm_overlap	interval_merge_and_json	0.091442887
qwen3_full	layer_operator_balance	template_layer_aggregate	0.000748966
qwen3_full	layer_operator_balance	sort_json	6.372e-06
qwen3_full	rank_load_balance	template_classification	8.4257e-05
qwen3_full	rank_load_balance	rank_tree_walk	0.208118224
qwen3_full	rank_load_balance	summary_json	0.00049552
unifolm_full	operator_hotspot	template_tally	0.028877134
unifolm_full	operator_hotspot	sort_top_n	0.001205093
unifolm_full	stream_load_balance	template_stream_aggregate	0.100440761
unifolm_full	stream_load_balance	sort_json	0.000132434
unifolm_full	compute_comm_overlap	rank_interval_collect	1.066821966
unifolm_full	compute_comm_overlap	interval_merge_and_json	0.585101475
unifolm_full	layer_operator_balance	template_layer_aggregate	0.001975494
unifolm_full	layer_operator_balance	sort_json	5.76e-07
unifolm_full	rank_load_balance	template_classification	0.000236146
unifolm_full	rank_load_balance	rank_tree_walk	0.530296534
unifolm_full	rank_load_balance	summary_json	3.2222e-05
llama_full	operator_hotspot	template_tally	0.06803935
llama_full	operator_hotspot	sort_top_n	3.1811e-05
llama_full	stream_load_balance	template_stream_aggregate	0.349341067
llama_full	stream_load_balance	sort_json	7.5612e-05
llama_full	compute_comm_overlap	rank_interval_collect	4.047090954
llama_full	compute_comm_overlap	interval_merge_and_json	1.655382347
llama_full	layer_operator_balance	template_layer_aggregate	0.00024499
llama_full	layer_operator_balance	sort_json	5.59e-07
llama_full	rank_load_balance	template_classification	8.2595e-05
llama_full	rank_load_balance	rank_tree_walk	1.850105444
llama_full	rank_load_balance	summary_json	0.002010948
