compressor	dataset	task	read_secs	decompress_secs	analyze_secs	total_secs	bytes_on_disk	peak_rss_kb
padoc	leworldmodel_full	operator_hotspot	0.0199	2.7186	0.0090	2.7475	38979996	642208
padoc	leworldmodel_full	rank_load_balance	0.0199	2.7186	0.0315	2.7700	38979996	642208
padoc	leworldmodel_full	layer_compute_comm_overlap	0.0199	2.7186	0.4552	3.1936	38979996	642208
padoc	leworldmodel_full	gpu_bubble_rate	0.0199	2.7186	0.0326	2.7710	38979996	642208
raw_json	leworldmodel_full	operator_hotspot	0.3063	9.3931	1.9210	11.6204	732791857	9431240
raw_json	leworldmodel_full	rank_load_balance	0.3063	9.3931	0.0291	9.7286	732791857	9431240
raw_json	leworldmodel_full	layer_compute_comm_overlap	0.3063	9.3931	2.0305	11.7299	732791857	9431240
raw_json	leworldmodel_full	gpu_bubble_rate	0.3063	9.3931	0.0250	9.7245	732791857	9431240
gzip_json	leworldmodel_full	operator_hotspot	0.0178	11.0095	0.8880	11.9153	42966254	9475160
gzip_json	leworldmodel_full	rank_load_balance	0.0178	11.0095	0.0292	11.0565	42966254	9475160
gzip_json	leworldmodel_full	layer_compute_comm_overlap	0.0178	11.0095	1.9902	13.0175	42966254	9475160
gzip_json	leworldmodel_full	gpu_bubble_rate	0.0178	11.0095	0.0251	11.0524	42966254	9475160
scalatrace	leworldmodel_full	operator_hotspot	0.0313	2.7243	0.8873	3.6429	14298534	3200672
scalatrace	leworldmodel_full	rank_load_balance	0.0313	2.7243	0.0296	2.7852	14298534	3200672
scalatrace	leworldmodel_full	layer_compute_comm_overlap	0.0313	2.7243	2.0187	4.7743	14298534	3200672
scalatrace	leworldmodel_full	gpu_bubble_rate	0.0313	2.7243	0.0266	2.7822	14298534	3200672
tracezip	leworldmodel_full	operator_hotspot	0.2562	2.8191	0.8248	3.9002	28318201	3286544
tracezip	leworldmodel_full	rank_load_balance	0.2562	2.8191	0.0291	3.1045	28318201	3286544
tracezip	leworldmodel_full	layer_compute_comm_overlap	0.2562	2.8191	2.5596	5.6350	28318201	3286544
tracezip	leworldmodel_full	gpu_bubble_rate	0.2562	2.8191	0.0252	3.1006	28318201	3286544
padoc	qwen3_full	operator_hotspot	0.1203	12.9913	0.0650	13.1766	287737929	4702804
padoc	qwen3_full	rank_load_balance	0.1203	12.9913	0.1713	13.2829	287737929	4702804
padoc	qwen3_full	layer_compute_comm_overlap	0.1203	12.9913	5.6380	18.7496	287737929	4702804
padoc	qwen3_full	gpu_bubble_rate	0.1203	12.9913	0.4248	13.5364	287737929	4702804
raw_json	qwen3_full	operator_hotspot	2.2649	86.2492	14.6368	103.1509	5432657358	85923316
