dataset	region	raw_bytes	padoc_msgpack_bytes	padoc_zstd_bytes	padoc_resident_bytes	ratio_disk	ratio_memory
leworldmodel_full	ts	27755112	16292794	4713353	14281244	5.89	1.94
leworldmodel_full	dur	27755112	3414947	339083	13682604	81.85	2.03
leworldmodel_full	args	182029625	53189815	20501632	54046295	8.88	3.37
leworldmodel_full	names	146286155	1591708	111783	2299750	1308.66	63.61
leworldmodel_full	tree_refs	55510224	266144036	26527945	219721236	2.09	0.25
leworldmodel_full	ids_pids_streams	83265336	270878	45336	516413	1836.63	161.24
qwen3_full	ts	270508592	168976140	125503072	163123564	2.16	1.66
qwen3_full	dur	270508592	35295054	14482656	125374824	18.68	2.16
qwen3_full	args	1064007965	286246715	44784875	608643715	23.76	1.75
qwen3_full	names	1168136564	17103166	385555	27801997	3029.75	42.02
qwen3_full	tree_refs	541017184	2006167756	200786592	1727171708	2.69	0.31
qwen3_full	ids_pids_streams	811525776	16948693	28582	59037924	28392.90	13.75
unifolm_full	ts	641784568	400762973	144343518	415984468	4.45	1.54
unifolm_full	dur	641784568	72828998	6673602	343930484	96.17	1.87
unifolm_full	args	4967110923	1331607162	352396895	2258642133	14.10	2.20
unifolm_full	names	4829430919	32864992	1136063	67360124	4251.02	71.70
unifolm_full	tree_refs	1283569136	3597137483	522402445	3691322432	2.46	0.35
unifolm_full	ids_pids_streams	1925353704	137926931	3840454	441352461	501.33	4.36
llama_full	ts	2410304928	1505735597	1073867885	1789090284	2.24	1.35
llama_full	dur	2410304928	259492391	101498433	1218664916	23.75	1.98
llama_full	args	11645569308	2037114675	295247430	3908835212	39.44	2.98
llama_full	names	15276406013	401717898	2723850	2502849067	5608.39	6.10
llama_full	tree_refs	4820609856	13850049750	1871256390	13103941704	2.58	0.37
llama_full	ids_pids_streams	7230914784	573876467	153426779	1209581835	47.13	5.98
