dataset	template_id	template_kind	column	name_pattern	original_len	sampled_len	truncated	current_encoding	current_mem_bytes_est	i64_mem_bytes	i32_applicable	i32_mem_bytes	constant	constant_mem_bytes	slp_i8_mem_bytes	slp_i8_segments	slp_i8_avg_segment_len	slp_i8_max_abs_residual	slp_i8_msgpack_bytes	slp_i8_zstd_bytes	slp_i8_encode_secs	slp_i8_decode_ok	slp_i16_mem_bytes	slp_i16_segments	slp_i16_avg_segment_len	slp_i16_max_abs_residual	slp_i16_msgpack_bytes	slp_i16_zstd_bytes	slp_i16_encode_secs	slp_i16_decode_ok	best_slp	best_slp_mem_bytes	best_slp_ratio_vs_i64	best_slp_ratio_vs_i32	accepted_vs_i64_gt_2	beats_i32	i64_msgpack_bytes	i64_zstd_bytes	i32_msgpack_bytes	i32_zstd_bytes
leworldmodel_full	22	cpu	ts	<built-in function isinstance>	424573	424573	false	i32	1698292	3396584	true	1698292	false	0	492125	2812	150.98613086770982	127	685197	305223	0.008355788	true	849906	29	14640.448275862069	32767	1256223	589557	0.008169729	true	slp_i8	492125	6.901872491744983	3.4509362458724917	true	true	1962941	377894	1962941	377894
leworldmodel_full	22	cpu	dur	<built-in function isinstance>	424573	424573	false	i32	1698292	3396584	true	1698292	false	0	425021	16	26535.8125	69	425647	7126	0.0083103	true	849378	7	60653.28571428572	963	424817	5328	0.008067162	true	slp_i8	425021	7.991567475489447	3.9957837377447234	true	true	424588	5203	424588	5203
leworldmodel_full	36	cpu	ts	<built-in function len>	130419	130419	false	i32	521676	1043352	true	521676	false	0	159139	1194	109.2286432160804	127	208921	111136	0.002613938	true	261598	29	4497.206896551724	32766	389742	246533	0.002527122	true	slp_i8	159139	6.556230716543399	3.2781153582716995	true	true	612404	98698	612404	98698
leworldmodel_full	36	cpu	dur	<built-in function len>	130419	130419	false	i32	521676	1043352	true	521676	false	0	130531	2	65209.5	17	130529	697	0.002468538	true	260950	2	65209.5	17	130528	693	0.002525823	true	slp_i8	130531	7.993135730209682	3.996567865104841	true	true	130424	599	130424	599
leworldmodel_full	43	cpu	ts	<built-in method get of dict object at 0x0f0d0d0a0c0>	91971	91971	false	i32	367884	735768	true	367884	false	0	109123	712	129.17275280898878	127	137836	69304	0.001821955	true	184438	18	5109.5	32765	275469	162591	0.001779749	true	slp_i8	109123	6.742556564610577	3.3712782823052887	true	true	424244	73518	424244	73518
leworldmodel_full	43	cpu	dur	<built-in method get of dict object at 0x0f0d0d0a0c0>	91971	91971	false	i32	367884	735768	true	367884	false	0	92083	2	45985.5	39	92083	916	0.001756526	true	184054	2	45985.5	39	92084	916	0.001761521	true	slp_i8	92083	7.990269648034925	3.9951348240174624	true	true	91976	795	91976	795
leworldmodel_full	3903	cpu	ts	<built-in method get of dict object at 0x0f0c0b0a0c0>	85343	85343	false	i32	341372	682744	true	341372	false	0	95511	421	202.7149643705463	127	119176	62376	0.001682061	true	171014	11	7758.454545454545	32758	255754	144362	0.001637242	true	slp_i8	95511	7.148328464784161	3.5741642323920804	true	true	395362	65564	395362	65564
leworldmodel_full	3903	cpu	dur	<built-in method get of dict object at 0x0f0c0b0a0c0>	85343	85343	false	i32	341372	682744	true	341372	false	0	85455	2	42671.5	38	85455	935	0.001627148	true	170798	2	42671.5	38	85456	937	0.001643336	true	slp_i8	85455	7.989514949388567	3.9947574746942833	true	true	85348	828	85348	828
leworldmodel_full	359	cpu	ts	<built-in function id>	82226	82226	false	i32	328904	657808	true	328904	false	0	90234	331	248.41691842900303	127	99385	43685	0.001586612	true	165044	22	3737.5454545454545	32767	246860	151418	0.001578985	true	slp_i8	90234	7.2900237161158765	3.6450118580579383	true	true	379401	68980	379401	68980
leworldmodel_full	359	cpu	dur	<built-in function id>	82226	82226	false	i32	328904	657808	true	328904	false	0	82338	2	41113.0	20	82340	653	0.001551918	true	164564	2	41113.0	20	82335	648	0.001570627	true	slp_i8	82338	7.989118025698948	3.994559012849474	true	true	82231	533	82231	533
leworldmodel_full	392	cpu	ts	abc.py(0): __instancecheck__	80958	80958	false	i32	323832	647664	true	323832	false	0	92494	478	169.36820083682008	127	119846	70372	0.001599501	true	162412	18	4497.666666666667	22531	241135	134155	0.001565051	true	slp_i8	92494	7.002227171492205	3.5011135857461024	true	true	367627	110235	367627	110235
leworldmodel_full	392	cpu	dur	abc.py(0): __instancecheck__	80958	80958	false	i32	323832	647664	true	323832	false	0	81190	7	11565.42857142857	65	81229	1957	0.001578779	true	162028	2	40479.0	958	81081	1839	0.001604596	true	slp_i8	81190	7.977140041877078	3.988570020938539	true	true	80969	1290	80969	1290
leworldmodel_full	393	cpu	ts	<built-in function _abc_instancecheck>	80958	80958	false	i32	323832	647664	true	323832	false	0	92494	478	169.36820083682008	127	119796	70194	0.001602546	true	162412	18	4497.666666666667	22531	241131	134124	0.00156249	true	slp_i8	92494	7.002227171492205	3.5011135857461024	true	true	367627	109377	367627	109377
leworldmodel_full	393	cpu	dur	<built-in function _abc_instancecheck>	80958	80958	false	i32	323832	647664	true	323832	false	0	81190	7	11565.42857142857	65	81229	1499	0.001596176	true	162028	2	40479.0	958	81081	1344	0.001581762	true	slp_i8	81190	7.977140041877078	3.988570020938539	true	true	80969	898	80969	898
leworldmodel_full	11	cpu	ts	<built-in function hasattr>	76024	76024	false	i32	304096	608192	true	304096	false	0	103208	1130	67.2778761061947	127	139546	77575	0.001549571	true	152760	27	2815.703703703704	32762	227735	145904	0.00147302	true	slp_i8	103208	5.892876521199907	2.9464382605999533	true	true	352767	97731	352767	97731
leworldmodel_full	11	cpu	dur	<built-in function hasattr>	76024	76024	false	i32	304096	608192	true	304096	false	0	76160	3	25341.333333333332	34	76171	1619	0.001502892	true	152160	2	38012.0	448	76139	1331	0.001482129	true	slp_i8	76160	7.985714285714286	3.992857142857143	true	true	76031	1184	76031	1184
leworldmodel_full	15	cpu	ts	<built-in function getattr>	57145	57145	false	i32	228580	457160	true	228580	false	0	80369	965	59.21761658031088	127	111469	64937	0.001168255	true	114978	26	2197.8846153846152	32749	171560	112720	0.001100678	true	slp_i8	80369	5.688262887431721	2.8441314437158605	true	true	260382	93024	260382	93024
leworldmodel_full	15	cpu	dur	<built-in function getattr>	57145	57145	false	i32	228580	457160	true	228580	false	0	57257	2	28572.5	127	77567	2160	0.001120904	true	114378	1	57145.0	244	57224	1338	0.001093264	true	slp_i8	57257	7.984351258361423	3.9921756291807116	true	true	57149	1244	57149	1244
leworldmodel_full	471	cpu	ts	copy.py(0): deepcopy	55472	55472	false	i32	221888	443776	true	221888	false	0	59712	174	318.8045977011494	127	65428	34975	0.001070208	true	111200	8	6934.0	32767	162513	106929	0.001069885	true	slp_i8	59712	7.431939978563773	3.7159699892818865	true	true	255251	61529	255251	61529
leworldmodel_full	471	cpu	dur	copy.py(0): deepcopy	55472	55472	false	i32	221888	443776	true	221888	false	0	65256	405	136.9679012345679	127	95723	35477	0.00114115	true	111032	1	55472.0	5683	163272	37184	0.00109875	true	slp_i8	65256	6.800539414000245	3.4002697070001227	true	true	56062	13160	56062	13160
leworldmodel_full	3850	cpu	ts	ac0g	44328	44328	false	i32	177312	354624	true	177312	false	0	69352	1040	42.62307692307692	127	96882	55289	0.000932715	true	91312	108	410.44444444444446	32758	124101	87743	0.000870339	true	slp_i8	69352	5.11339254816011	2.556696274080055	true	true	221643	101958	221643	101958
leworldmodel_full	478	cpu	ts	copy.py(0): _deepcopy_atomic	39202	39202	false	i32	156808	313616	true	156808	false	0	42962	154	254.55844155844156	127	47786	28139	0.000779007	true	78636	7	5600.285714285715	32767	115549	82831	0.000757964	true	slp_i8	42962	7.2998463758670455	3.6499231879335228	true	true	179965	41525	179965	41525
leworldmodel_full	478	cpu	dur	copy.py(0): _deepcopy_atomic	39202	39202	false	i32	156808	313616	true	156808	false	0	39290	1	39202.0	4	39279	377	0.000751014	true	78492	1	39202.0	4	39280	379	0.000755724	true	slp_i8	39290	7.982081954695851	3.9910409773479256	true	true	39205	290	39205	290
leworldmodel_full	40	cpu	ts	<built-in method append of list object at 0x0f0bd0cb0>	35806	35806	false	i32	143224	286448	true	143224	false	0	49982	588	60.894557823129254	127	64788	38528	0.000722236	true	72012	14	2557.5714285714284	32757	106252	76807	0.00069448	true	slp_i8	49982	5.731023168340602	2.865511584170301	true	true	168813	61251	168813	61251
leworldmodel_full	40	cpu	dur	<built-in method append of list object at 0x0f0bd0cb0>	35806	35806	false	i32	143224	286448	true	143224	false	0	35894	1	35806.0	3	35883	287	0.00068007	true	71700	1	35806.0	3	35884	289	0.000679721	true	slp_i8	35894	7.980386694155012	3.990193347077506	true	true	35809	218	35809	218
